iau_name ,alt_name        ,ra        ,dec      ,class         
1921-2920,OV -236         ,19 24 51.1,-29 14 30,QSO RADIO LOUD
0027-2859,IRAS 00275-2859 ,00 30 04.2,-28 42 28,QSO RADIO LOUD
0537-2841,PKS 0537-286    ,05 39 54.3,-28 39 56,QSO RADIO LOUD
1011-2816,PKS 1011-282    ,10 13 29.5,-28 31 25,QSO RADIO LOUD
0440-2831,PKS 0440-285    ,04 42 37.6,-28 25 30,QSO RADIO LOUD
1047-2807,IRAS 10479-2808 ,10 50 18.1,-28 23 39,QSO RADIO LOUD
0451-2812,PKS 0451-28     ,04 53 14.6,-28 07 37,QSO RADIO LOUD
2255-2814,PKS 2255-282    ,22 58 05.9,-27 58 22,QSO RADIO LOUD
0346-2758,PKS 0346-27     ,03 48 38.1,-27 49 16,QSO RADIO LOUD
0100-2702,PKS 0100-270    ,01 02 56.4,-26 46 36,QSO RADIO LOUD
1328-2623,PKS 1328-264    ,13 31 11.7,-26 39 15,QSO RADIO LOUD
1202-2617,PKS 1203-26     ,12 05 33.1,-26 34 04,QSO RADIO LOUD
1244-2531,PKS 1244-255    ,12 46 46.7,-25 47 47,QSO RADIO LOUD
1117-2451,PKS 1117-248    ,11 20 09.0,-25 08 07,QSO RADIO LOUD
0035-2515,PKS 0035-252    ,00 38 14.6,-24 59 02,QSO RADIO LOUD
0135-2446,PKS 0135-247    ,01 37 38.4,-24 30 53,QSO RADIO LOUD
0237-2322,PKS 0237-23     ,02 40 08.0,-23 09 16,QSO RADIO LOUD
0123-2238,PKS 0123-226    ,01 26 14.8,-22 22 33,QSO RADIO LOUD
0450-2206,PKS 0450-220    ,04 52 44.7,-22 01 20,QSO RADIO LOUD
0454-2204,PKS 0454-22     ,04 56 10.2,-21 59 21,QSO RADIO LOUD
0511-2202,PKS 0511-220    ,05 13 49.0,-21 59 16,QSO RADIO LOUD
1327-2126,PKS 1327-21     ,13 30 07.1,-21 42 02,QSO RADIO LOUD
2024-2146,PKS 2024-217    ,20 27 04.2,-21 36 19,QSO RADIO LOUD
2203-2134,PKS 2203-215    ,22 06 41.4,-21 19 43,QSO RADIO LOUD
2227-2128,MC 2227-214     ,22 30 41.5,-21 12 54,QSO RADIO LOUD
0413-2103,PKS 0413-21     ,04 16 04.4,-20 56 28,QSO RADIO LOUD
1327-2040,PKS 1327-206    ,13 30 07.7,-20 56 17,QSO RADIO LOUD
0446-2049,MC 0446-208     ,04 48 58.8,-20 44 46,QSO RADIO LOUD
0925-2021,PKS 0925-203    ,09 27 51.8,-20 34 51,QSO RADIO LOUD
2153-2026,PKS 2153-204    ,21 56 33.7,-20 12 30,QSO RADIO LOUD
0902-1945,PKS 0902-19     ,09 04 40.7,-19 57 26,QSO RADIO LOUD
0946-1943,MC 0946-197     ,09 49 05.8,-19 57 10,QSO RADIO LOUD
1045-1853,PKS 1045-18     ,10 48 06.6,-19 09 35,QSO RADIO LOUD
2203-1850,PKS 2203-18     ,22 06 10.4,-18 35 39,QSO RADIO LOUD
2002-1830,PKS 2002-185    ,20 05 17.2,-18 22 04,QSO RADIO LOUD
2335-1808,PKS 2335-18     ,23 37 56.6,-17 52 21,QSO RADIO LOUD
1958-1757,PKS 1958-179    ,20 00 57.0,-17 48 58,QSO RADIO LOUD
1328-1721,1328-173        ,13 31 36.1,-17 36 25,QSO RADIO LOUD
0202-1715,PKS 0202-17     ,02 04 57.6,-17 01 20,QSO RADIO LOUD
0557-1652,PKS 0557-16     ,05 59 40.6,-16 52 12,QSO RADIO LOUD
2345-1647,PKS 2345-16     ,23 48 02.5,-16 31 13,QSO RADIO LOUD
0215-1644,PKS 0215-16     ,02 17 57.2,-16 31 10,QSO RADIO LOUD
0537-1552,PKS 0537-158    ,05 39 31.9,-15 50 29,QSO RADIO LOUD
2008-1555,PKS 2008-159    ,20 11 15.6,-15 46 39,QSO RADIO LOUD
0607-1542,PKS 0607-15     ,06 09 40.8,-15 42 40,QSO RADIO LOUD
2126-1551,PKS 2126-15     ,21 29 12.0,-15 38 42,QSO RADIO LOUD
2143-1539,PKS 2143-156    ,21 46 22.8,-15 25 44,QSO RADIO LOUD
2351-1529,PKS 2351-154    ,23 54 30.0,-15 13 11,QSO RADIO LOUD
2155-1515,PKS 2155-152    ,21 58 06.2,-15 01 10,QSO RADIO LOUD
1127-1432,PKS 1127-14     ,11 30 06.9,-14 49 27,QSO RADIO LOUD
2135-1446,PKS 2135-14     ,21 37 45.1,-14 32 55,QSO RADIO LOUD
0349-1438,3C  95          ,03 51 28.5,-14 29 10,QSO RADIO LOUD
0859-1403,PKS 0859-14     ,09 02 16.6,-14 15 30,QSO RADIO LOUD
1136-1334,PKS 1136-13     ,11 39 10.6,-13 50 43,QSO RADIO LOUD
0403-1316,PKS 0403-13     ,04 05 34.0,-13 08 14,QSO RADIO LOUD
1730-1302,NRAO 530        ,17 33 02.5,-13 04 50,QSO RADIO LOUD
1335-1242,PKS 1335-127    ,13 37 39.9,-12 57 24,QSO RADIO LOUD
0244-1249,PKS 0244-128    ,02 46 58.4,-12 36 31,QSO RADIO LOUD
0837-1203,PKS 0837-12     ,08 39 50.5,-12 14 34,QSO RADIO LOUD
0405-1219,PKS 0405-12     ,04 07 48.4,-12 11 36,QSO RADIO LOUD
2128-1220,PKS 2128-12     ,21 31 35.2,-12 07 04,QSO RADIO LOUD
2243-1222,PKS 2243-123    ,22 46 18.1,-12 06 52,QSO RADIO LOUD
1424-1150,PKS 1424-11     ,14 27 38.1,-12 03 51,QSO RADIO LOUD
1235-1142,TEX 1235-117    ,12 38 07.3,-11 59 25,QSO RADIO LOUD
0113-1152,PKS 0113-11     ,01 16 12.4,-11 36 14,QSO RADIO LOUD
1346-1117,PKS 1346-112    ,13 49 31.2,-11 32 50,QSO RADIO LOUD
0159-1147,3C  57          ,02 01 57.1,-11 32 34,QSO RADIO LOUD
2354-1142,PKS 2354-11     ,23 57 31.2,-11 25 39,QSO RADIO LOUD
1352-1026,PKS 1352-104    ,13 54 46.4,-10 41 01,QSO RADIO LOUD
0225-1051,MS 02255-1052   ,02 27 59.1,-10 38 36,QSO RADIO LOUD
1020-1022,PKS 1020-103    ,10 22 32.6,-10 37 45,QSO RADIO LOUD
1302-1017,PKS 1302-102    ,13 05 32.9,-10 33 20,QSO RADIO LOUD
0226-1041,TEX 0226-106B   ,02 29 21.2,-10 27 49,QSO RADIO LOUD
1937-1009,PKS 1937-101    ,19 39 57.1,-10 02 41,QSO RADIO LOUD
1048-0902,PKS 1049-09     ,10 51 29.9,-09 18 09,QSO RADIO LOUD
1510-0854,PKS 1510-08     ,15 12 50.4,-09 06 00,QSO RADIO LOUD
0605-0834,OH-010          ,06 07 59.6,-08 34 49,QSO RADIO LOUD
2355-0816,PKS 2355-082    ,23 58 09.6,-08 00 07,QSO RADIO LOUD
1406-0738,PKS 1406-076    ,14 08 56.3,-07 52 26,QSO RADIO LOUD
1243-0714,PKS 1243-072    ,12 46 04.2,-07 30 46,QSO RADIO LOUD
1145-0708,PKS 1145-071    ,11 47 51.5,-07 24 41,QSO RADIO LOUD
0414-0601,3C 110          ,04 17 16.6,-05 53 45,QSO RADIO LOUD
1253-0531,3C 279          ,12 56 11.1,-05 47 21,QSO RADIO LOUD
1200-0511,PKS 1200-051    ,12 02 34.1,-05 28 02,QSO RADIO LOUD
2303-0516,PKS 2303-052    ,23 06 15.2,-04 59 49,QSO RADIO LOUD
2223-0512,3C 446          ,22 25 47.1,-04 57 01,QSO RADIO LOUD
2139-0451,PKS 2140-048    ,21 42 36.7,-04 37 44,QSO RADIO LOUD
0119-0437,PKS 0119-04     ,01 22 27.8,-04 21 27,QSO RADIO LOUD
1146-0347,PKS 1146-037    ,11 48 55.8,-04 04 10,QSO RADIO LOUD
0232-0415,PKS 0232-04     ,02 35 07.2,-04 02 05,QSO RADIO LOUD
1159-0337,PKS 1159-036    ,12 02 12.6,-03 54 34,QSO RADIO LOUD
1741-0348,PKS 1741-03     ,17 43 58.7,-03 50 05,QSO RADIO LOUD
2216-0350,PKS 2216-03     ,22 18 52.0,-03 35 37,QSO RADIO LOUD
2340-0339,PKS 2340-036    ,23 42 56.5,-03 22 27,QSO RADIO LOUD
2044-0247,3C 422          ,20 47 10.2,-02 36 21,QSO RADIO LOUD
0107-0235,Q 0107-0235     ,01 10 13.1,-02 19 53,QSO RADIO LOUD
1351-0151,PKS 1351-018    ,13 54 06.8,-02 06 03,QSO RADIO LOUD
1435-0134,Q 1435-0134     ,14 37 48.1,-01 47 10,QSO RADIO LOUD
0336-0155,EF B0336-0155   ,03 39 32.4,-01 45 36,QSO RADIO LOUD
0112-0142,PKS 0112-017    ,01 15 17.0,-01 27 06,QSO RADIO LOUD
0420-0127,PKS 0420-01     ,04 23 15.7,-01 20 33,QSO RADIO LOUD
2349-0125,PKS 2349-01     ,23 51 56.1,-01 09 13,QSO RADIO LOUD
1430-0046,Q 1430-0046     ,14 32 44.2,-00 59 15,QSO RADIO LOUD
0743-0036,PKS 0743-006    ,07 45 54.0,-00 44 18,QSO RADIO LOUD
0222-0049,PKS 0222-00     ,02 25 07.8,-00 35 32,QSO RADIO LOUD
2037-0035,MS 20373-0035   ,20 39 55.3,-00 24 40,QSO RADIO LOUD
0256-0031,PKS 0256-005    ,02 59 28.3,-00 20 01,QSO RADIO LOUD
0122-0034,UM 320          ,01 25 17.1,-00 18 29,QSO RADIO LOUD
0300-0026,PKS 0300-00     ,03 03 13.0,-00 14 57,QSO RADIO LOUD
0122-0021,PKS 0122-00     ,01 25 28.8,-00 05 56,QSO RADIO LOUD
0957+0019,PKS 0957+00     ,10 00 17.6,+00 05 23,QSO RADIO LOUD
0056-0009,PHL  923        ,00 59 05.5,+00 06 52,QSO RADIO LOUD
0251-0001,US 3293         ,02 53 40.9,+00 11 11,QSO RADIO LOUD
2134+0028,PKS 2134+004    ,21 36 38.6,+00 41 55,QSO RADIO LOUD
1013+0124,Q 1013+0124     ,10 15 56.9,+01 09 13,QSO RADIO LOUD
0131+0058,UM 338          ,01 33 52.6,+01 13 46,QSO RADIO LOUD
0906+0133,PKS 0906+01     ,09 09 10.0,+01 21 36,QSO RADIO LOUD
1025+0145,Q 1025+0145     ,10 28 15.9,+01 30 04,QSO RADIO LOUD
1532+0141,PKS 1532+01     ,15 34 52.4,+01 31 05,QSO RADIO LOUD
0137+0116,PHL 1093        ,01 39 57.2,+01 31 47,QSO RADIO LOUD
1055+0150,PKS 1055+01     ,10 58 29.5,+01 33 58,QSO RADIO LOUD
0106+0119,PKS 0106+01     ,01 08 38.7,+01 35 00,QSO RADIO LOUD
0736+0144,PKS 0736+01     ,07 39 18.0,+01 37 04,QSO RADIO LOUD
0812+0204,PKS 0812+02     ,08 15 22.9,+01 54 58,QSO RADIO LOUD
1356+0214,PKS 1356+022    ,13 59 27.1,+01 59 54,QSO RADIO LOUD
1226+0219,3C 273.0        ,12 29 06.6,+02 03 08,QSO RADIO LOUD
1217+0220,PKS 1217+02     ,12 20 11.8,+02 03 42,QSO RADIO LOUD
2333+0154,TEX 2333+019    ,23 36 30.5,+02 10 45,QSO RADIO LOUD
